media_label,count_tweets
Maddyness.com,43
Blogdumoderateur.com,102
Lilianeheldkhawam.com,44
Journaldugeek.com,256
Meteo.bzh,18
Areion24.news,9
Footballclubdemarseille.fr,87
Lemediatv.fr,43
Lest-Eclair.fr,69
Canal-Supporters.com,123
Jim.fr,22
Lemoniteur.fr,33
Radioj.fr,41
Lejsl.com,63
Pourlascience.fr,33
Anguillesousroche.com,56
Franc-Tireur.fr,55
Tourmag.com,14
Maligue2.fr,110
Boursier.com,46
Lejournaldesentreprises.com,16
Paris-Luttes.info,280
Kulturegeek.fr,62
Onzemondial.com,136
Femmeactuelle.fr,31
Larep.fr,87
Africaintelligence.fr,113
Geopolitique-Profonde.com,125
Monde-Diplomatique.fr,97
Syndicalismehebdo.fr,24
Lesinrocks.com,121
Fabula.org,104
Topmercato.com,37
Insolentiae.com,46
Cryptoast.fr,88
Maville.com,22
Legrandcontinent.eu,74
Contrepoints.org,153
Bondyblog.fr,28
Caminteresse.fr,30
Culturepsg.com,81
Begeek.fr,30
Acrimed.org,25
Boursedirect.fr,13
Usinenouvelle.com,96
Quinzemondial.com,5
Lvsl.fr,27
Off-Investigation.fr,47
Opex360.com,81
Footmarseille.com,118
Genethique.org,37
Pokebip.com,28
Cbnews.fr,57
Mind.eu.com /media,23
Real-France.fr,41
Quechoisir.org,14
Bonpote.com,42
Universfreebox.com,55
Autohebdo.fr,47
Strategies.fr,90
Dreuz.info,98
Movierama.fr,21
Contexte.com,60
Actu-Juridique.fr,80
France.tv,307
Infomigrants.net,69
Legorafi.fr,51
Clubic.com,118
Lesakerfrancophone.fr,12
Tvl.fr,83
Courrierdesbalkans.fr,41
Hospimedia.fr,42
Actuforcesdelordre.fr,89
Letudiant.fr,83
Journalducm.com,25
Consultor.fr,6
Russiepolitics.blogspot.com,9
Lagazettedescommunes.com,56
F1Only.fr,45
Oisehebdo.fr,47
Maire-Info.com,12
Arte.tv,184
Ozap.com,239
Charentelibre.fr,94
Dcplanet.fr,22
Phonandroid.com,60
Disneyphile.fr,102
Itsocial.fr,29
Covid-Factuel.fr,5
Comicsblog.fr,35
Bebasket.fr,140
Lebleudumiroir.fr,32
Macg.co,51
Telos-Eu.com,28
Aefinfo.fr,115
Brut.media,9
olplay.Ol.fr,15
Auto-Moto.com,23
Radioclassique.fr,12
Xboxygen.com,122
Xochipelli.fr,63
Lyonne.fr,61
Livreshebdo.fr,10
Journalducoin.com,103
Linforme.com,159
Usine-Digitale.fr,77
Konbini.com,24
Revuepolitique.fr,31
Telestar.fr,58
Gameblog.fr,170
Premiere.fr,162
Creapills.com,9
Planimaux.com,16
Revue-Elements.com,14
Lecanardenchaine.fr,220
Forbes.fr,32
H16Free.com,9
Lemediasocial.fr,55
Laviedesidees.fr,28
Maritima.info,30
Dailygeekshow.com,64
Lesjoiesducode.fr,41
Connaissancedesarts.com,21
Marieclaire.fr,37
Linternaute.com,38
Nicepresse.com,92
Radiofrance.fr /mouv,33
Nordlittoral.fr,29
Leddv.fr,15
Breizh-Info.com,115
Lechasseurfrancais.com,16
Doctissimo.fr,95
Nova.fr,56
Radiofrance.fr,16
Gqmagazine.fr,55
Contretemps.eu,44
Allocine.fr,126
Ouillade.eu,6
Mediacites.fr,41
Nordicmag.info,119
Vice.com /fr,16
Automobile-Magazine.fr,12
Bsmart.fr,40
Brunobertez.com,139
Lenouveleconomiste.fr,22
fr.Sott.net,47
Infos-Dijon.com,17
Manga-News.com,40
Lalettrepatriote.com,95
Informationnationaliste.fr,24
Radioscoop.com,34
Veridik.fr,65
Aa.com.tr /fr,65
Rojinfo.com,13
Saphirnews.com,33
Gamergen.com,87
Actugaming.net,94
Business-Cool.com,19
Welovetennis.fr,19
Iphonesoft.fr,88
Editoweb.eu,8
Madeinmarseille.net,53
Chartsinfrance.net,54
Luniversims.fr,29
24Matins.fr,59
Legrandsoir.info,21
Lejournaltoulousain.fr,3
Lejournaldesarts.fr,29
Paristeam.fr,42
60Millions-Mag.com,31
Nextplz.fr,8
Lequotidiendelart.com,27
Lcp.fr,39
Damocles.co,3
Zayactu.org,19
Socialter.fr,11
Toutelaculture.com,12
Contre-Attaque.net,106
Football-Addict.com /fr,90
Vogue.fr,83
Sortiraparis.com,11
Lesdeqodeurs.fr,7
La-Bas.org,16
Woopets.fr,137
Crowdbunker.com,146
Thebigwhale.io,16
Mediabask.eus,44
Terrafemina.com,10
Sofoot.com,74
Acteurspublics.fr,57
Conspiracywatch.info,10
Piflemag.fr,8
Reflets.info,24
Causette.fr,14
Lesnumeriques.com,53
Tetu.com,213
Lafranceagricole.fr,17
France-Catholique.fr,29
Autojournal.fr,68
Lanticapitaliste.org,18
Millenium.org,21
Economiematin.fr,9
Lincorrect.org,15
Exoconscience.com,9
Larepubliquedespyrenees.fr,59
Afriquexxi.info,20
Bitcoin.fr,9
Egora.fr,19
Neozone.org,62
Lsa-Conso.fr,58
Altselection.com,86
Legeneraliste.fr,13
Linfodurable.fr,25
Beauxarts.com,64
Journaldesfemmes.fr,37
Europe-Israel.org,46
Arretsurimages.net,145
Influencia.net,13
Whatsupdoc-Lemag.fr,27
Air-Cosmos.com,40
Dailymercato.com,22
30Millionsdamis.fr,45
Medisite.fr,12
Faire-Face.fr,20
Igen.fr,41
Ksociety.fr,4
Troiscouleurs.fr,29
Senscritique.com,11
Ign.com,48
Zataz.com,92
Lemagit.fr,21
Club-Stephenking.fr,5
Arteradio.com,25
Cnetfrance.fr,47
Coinacademy.fr,54
Elishean777.com,18
Lamanchelibre.fr,51
Ukrinform.fr,27
Tradingsat.com,18
Ski-Nordique.net,48
Football.fr,50
Nexus.fr,34
Lerubicon.org,29
Franceguyane.fr,24
Envertetcontretous.fr,44
Herault-Tribune.com,19
Guyboulianne.info,8
Cultinfos.com,17
Histoiredupsg.fr,24
Meteofrance.com,26
Profession-Gendarme.com,158
Lemessager.fr,27
Safetypromo.net,75
Goal.com,31
Lecafedugeek.fr,5
Komitid.fr,45
Science-Et-Vie.com,44
Planet.fr,15
Aisnenouvelle.fr,33
Air-Journal.fr,3
Le11Hdf.fr,17
Vosgesmatin.fr,42
Revueconflits.com,16
Consoglobe.com,10
Satellifacts.com,21
Village-Justice.com,20
Revuedesdeuxmondes.fr,10
Goodplanet.info,12
Lachainemeteo.com,16
Frenchmorning.com,9
A-Droite-Fierement.fr,7
Famillechretienne.fr,42
Generation-Nt.com,16
Lemondedudroit.fr,31
Lesalonbeige.fr,50
Toutelatele.com,19
Jforum.fr,11
Equinoxmagazine.fr,22
Aulnaycap.com,13
Cointribune.com,52
Baz-Art.org,41
Letribunaldunet.fr,36
Relais-Info.fr,3
Lafuria.fr,5
Ohmymag.com,29
Histoireetsociete.com,6
Programme-Television.org,17
Radiofrance.fr /fip,68
Minurne.org,9
Herodote.net,8
Connaissancedesenergies.org,5
Goldnadel.tv,7
Batiactu.com,15
Lavoiedelepee.blogspot.com,8
Foot01.com,5
Frontpopulaire.fr,48
Ktotv.com,17
Generationfrexit.fr,15
Dragonballsuper-France.fr,2
Info-Chalon.com,4
Grazia.fr,11
Demotivateur.fr,11
Journaldujapon.com,20
Rebellyon.info,77
Resistancextremismes.eu,40
Lebonbon.fr,12
Voici.fr,16
Legavox.fr,3
Aufeminin.com,15
Serieously.com,1
Rue89Bordeaux.com,294
Pokegraph.com,20
Meteofrance.fr,32
Republiquedujapap.com,12
Omertamedia.fr,15
Programme-Tv.net,32
Programme.tv,21
Sciencepost.fr,7
Infodujour.fr,26
Apar.tv,49
Parisfans.fr,32
Juste-Milieu.fr,6
Xbox-Mag.net,2
Lesmoutonsenrages.fr,3
Pokekalos.fr,8
Wedemain.fr,8
Vanityfair.fr,27
Julienchieze.com,7
Qg.media,28
En-Attendant-Nadeau.fr,15
Jeuxactu.com,4
Tribunejuive.info,7
Lephoceen.fr,9
Citizen-Light.fr,3
Topsante.com,3
Lhistoire.fr,11
Multinationales.org,1
Wikiagri.fr,3
Lanceurdalerte.info,2
Dayfr.com,11
Larevuedudigital.com,13
Lavie.fr,38
Lemonde.co.il,15
Loikleflochprigent.fr,5
Abcdrduson.com,6
Sortirdunucleaire.org,6
Urban-Radio.com,2
Booska-P.com,8
Decideurs-Magazine.com,4
Cielvoile.fr,15
Disclose.ngo,16
Nintendo-Difference.com,31
Laminutedericardo.com,2
Football365.fr,24
Balancetonantisemite.com,10
Michelonfray.com,5
Lechotouristique.com,3
Lafranceliberee.fr,3
Lasueur.com,5
Public.fr,40
Fflose.com,13
Cerfia.fr,16
Lerevenu.com,4
Cieletespace.fr,13
Etresouverain.com,3
Lepointcritique.fr,1
Lequotidiendusport.fr,17
News-24.fr,8
Lemondedelenergie.com,7
Rue89Lyon.fr,32
Caradisiac.com,36
Passeportsante.net,8
Thinkerview.com,2
Vududroit.com,9
Lesonunique.com,7
Boualemetsteph.fr,7
Courrierdeuropecentrale.fr,6
Cyclismactu.net,6
Chevallier.biz,8
Entreprendre.fr,44
Revuecommune.fr,5
Le10Sport.com,3
Divulgation.fr,1
Lobservateur.fr,3
Laregledujeu.org,6
Meteo-Paris.com,3
Francemediasnumerique.net,6
Voltairenet.org,7
Pourquoidocteur.fr,14
Infos-Sport.com,4
Geopolintel.fr,3
Butfootballclub.fr,10
Santemagazine.fr,3
Iletaitunepub.fr,7
Lnc.nc,2
Armenews.com,3
Maxifoot.fr,3
Iatranshumanisme.com,8
Al-Kanz.org,4
Ecranlarge.com,5
Db-Z.com,6
Anthropo-Logiques.org,7
Lanceuralerte.org,1
Blogrioufol.com,8
By-Jipp.blogspot.com,11
Pausefoot.com,1
Jovanovic.com,18
Parolesdhistoire.fr,3
Corsenetinfos.corsica,10
Roxarmy.com,1
Fakirpresse.info,2
Newsweed.fr,15
Libreactu.fr,1
Psychologies.com,2
Aphadolie.com,1
Cqfd-Journal.org,6
Meteo-Villes.com,2
Peuple-Vert.fr,1
Befoot.net,2
Onvoitout.fr,1
Dexerto.fr,1
Tvadp.fr,10
Ash.tm.fr,4
Actu-Mag.fr,2
Cosmopolitan.fr,1
Xavier-Bazin.fr,1
Ville-Rail-Transports.com,2
Lactucitoyenne.fr,3
Infoclimat.fr,2
Freelanceinfos.fr,1
Myjournal.fr,1
Purebreak.com,1
La-Verite-Vous-Rendra-Libres.org,2
Thegamemasters.fr,1
