media_label,count_tweets
Limportant.fr,1002
Letelegramme.fr,1691
Lecourrierdesstrateges.fr,414
Lexpress.fr,907
Hitek.fr,4
Bfmtv.com,15244
Footmercato.net,555
Radiofrance.fr /franceculture,861
Liberation.fr,4043
Notretemps.com,17
Lalsace.fr,138
Sciencesetavenir.fr,314
Lefigaro.fr,5562
Tf1Info.fr,1749
Dna.fr,260
Latribune.fr,781
Geo.fr,185
Numerama.com,372
Corsicainfurmazione.org,16
Leparisien.fr,5162
Francetvinfo.fr,7104
Lemonde.fr,7954
Huffingtonpost.fr,999
Mediapart.fr,2815
Lemediaen442.fr,349
Ledauphine.com,673
Capital.fr,573
Ouest-France.fr,3598
20Minutes.fr,2090
Publicsenat.fr,492
Epochtimes.fr,90
Humanite.fr,580
Lepoint.fr,1315
Lanouvellerepublique.fr,411
Nicematin.com,619
Infoequitable.org,6
Theconversation.com,292
Valeursactuelles.com,509
Latribunedelart.com,14
Lequipe.fr,394
Purepeople.com,127
Lecourrier-Du-Soir.com,309
Laprovence.com,759
Basta.media,157
Rtl.fr,327
Lundi.am,38
Reporterre.net,376
fr.Euronews.com,78
Agefi.fr,55
Siecledigital.fr,162
Jeuxvideo.com,55
Viaatv.tv,43
Centre-Presse.fr,45
Blast-Info.fr,72
Courrierinternational.com,571
Jeanmarcmorandini.com,642
Corsematin.com,180
Lequotidiendupharmacien.fr,16
Crashdebug.fr,21
Businessbourse.com,506
Franceantilles.fr,142
Radiocourtoisie.fr,66
Marianne.net,881
Slate.fr,307
Futura-Sciences.com,155
Sport.fr,21
Rugby-Addict.com,78
Sudouest.fr,1559
Cnews.fr,889
Ripostelaique.com,237
Fdesouche.com,1822
Lesechos.fr,1452
Actu.fr,2343
Lelibrepenseur.org,60
Planetes360.fr,488
Tv5Monde.com,291
Bvoltaire.fr,820
Medias-Presse.info,70
Lavoixdunord.fr,1376
Lunion.fr,138
France24.com,219
Qactus.fr,144
Rci.fm,8
Agoravox.fr,68
Trustmyscience.com,42
Lindependant.fr,600
Transitionsenergies.com,14
Touteleurope.eu,29
Egaliteetreconciliation.fr,205
Jhm.fr,83
Parismatch.com,241
Actu-Environnement.com,129
Lequotidien.re,6
Turbo.fr,12
Ladepeche.fr,1115
Francesoir.fr,344
Zinfos974.com,137
Gala.fr,282
Midilibre.fr,1544
Limportante.fr,209
Lequotidiendumedecin.fr,117
Frustrationmagazine.fr,69
motorsport.Nextgen-Auto.com /fr,1
Tntv.pf,21
Imazpress.com,72
Lemondeinformatique.fr,50
Melty.fr,22
Lecourrierdelatlas.com,14
Francebleu.fr,2347
Challenges.fr,434
Mariefrance.fr,245
Sudradio.fr,77
Reseauinternational.net,665
Lopinion.fr,745
Projetarcadie.com,23
Closermag.fr,57
Ndf.fr,17
Cerveauetpsycho.fr,20
Citoyens-Et-Francais.fr,24
Causeur.fr,280
Trashtalk.co,164
Linfo.re,7
Reussir.fr,39
Estrepublicain.fr,507
Politis.fr,285
K-Gen.fr,137
Lardennais.fr,35
Themedialeader.fr,23
Republicain-Lorrain.fr,235
Leblogalupus.com,40
Sports.fr,24
Bienpublic.com,293
Revue-Ballast.fr,77
Policeetrealites.com,110
Lamarseillaise.fr,158
Afp.com,202
Compta-Online.com,35
Lechorepublicain.fr,82
Vitisphere.com,39
Arabnews.fr,55
Meteo-Express.com,25
Rue89Strasbourg.com,112
Leprogres.fr,823
Basketusa.com,118
Meretmarine.com,28
Foot-National.com,28
Centrepresseaveyron.fr,36
Leberry.fr,120
Lejdd.fr,846
Dalloz-Actualite.fr,77
Lejdc.fr,82
Varmatin.com,349
Michelduchaine.com,17
Radiofrance.fr /franceinter,1006
Linsoumission.fr,96
La-Croix.com,585
Europe1.fr,410
Petitbleu.fr,38
Lyonmag.com,195
Regards.fr,41
Lebigdata.fr,17
Basketeurope.com,136
Paris-Normandie.fr,360
Radiofrance.fr /francemusique,268
Fredzone.org,15
Israel247.org,66
Actualitte.com,136
Philomag.com,50
Carenews.com,21
Presse-Citron.net,169
Automobile-Propre.com,77
Alternatives-Economiques.fr,205
Atlantico.fr,273
Tomsguide.fr,83
Telerama.fr,321
Revolution-Energetique.com,13
I24News.tv,307
Marsactu.fr,83
Euractiv.fr,164
Desk-Russie.eu,12
Leblogtvnews.com,102
Blog-Nouvelles-Technologies.fr,26
jeminformetv.Wordpress.com,22
Lerepairedesmotards.com,22
Aoc.media,74
Directvelo.com,17
Pgibertie.com,312
Canardpc.com,33
Les-Crises.fr,56
Mac4Ever.com,80
Girondins4Ever.com,143
Diacritik.com,78
Profidecatholica.com,14
Autoplus.fr,111
Lyoncapitale.fr,136
Positivr.fr,104
Olyrix.com,31
Paddock-Gp.com,71
Allodocteurs.fr,26
Nouvelobs.com,1098
Objectifgard.com,90
Resistancerepublicaine.com,104
Boursorama.com,185
Lesviolets.com,31
Intelligenceonline.fr,23
Comarketing-News.fr,24
Madmoizelle.com,78
Cafepedagogique.net,189
Courrier-Picard.fr,173
Neonmag.fr,31
Cogiito.com,84
Lepetitjournal.com,38
01Net.com,167
Putsch.media,59
Chassepassion.net,7
Achatpublic.info,91
Lamontagne.fr,675
Orientxxi.info,87
Nextinpact.com,47
Theatrum-Belli.com,56
Silicon.fr,56
Streetpress.com,94
Zdnet.fr,130
Citoyens.com,53
Revolutionpermanente.fr,144
Eurosport.fr,131
Chassons.com,9
Rfi.fr,261
Moneyvox.fr,37
Nationalgeographic.fr,98
Olympique-Et-Lyonnais.com,109
Webgirondins.com,66
Attali.com,6
Tendanceouest.com,59
Coins.fr,61
Zonebourse.com,81
Nice-Provence.info,3
Lopinion.com,15
Actu17.fr,243
E-Marketing.fr,27
Journaldunet.com,83
Charliehebdo.fr,104
Usbeketrica.com,70
Ladn.eu,139
Jeune-Nation.com,60
Rcf.fr,140
Christec.net,12
Psgcommunity.com,22
Gamekult.com,32
Wynfoot.fr,75
Rapportsdeforce.fr,43
Lesnouvellesnews.fr,28
Frenchweb.fr,15
Cahiers-Pedagogiques.com,21
Actuel-Rh.fr,31
Rugbyrama.fr,128
Frandroid.com,261
Terre-Net.fr,4
Lesfrancais.press,46
Lalettrea.fr,96
Radioorient.com,90
Rollingstone.fr,67
Elle.fr,64
Lepopulaire.fr,181
Lesjours.fr,129
Elucid.media,27
Observatoiredumensonge.com,35
