date,media_label,count_tweets
2023-03-16,Limportant.fr,139
2023-03-16,Letelegramme.fr,221
2023-03-16,Lecourrierdesstrateges.fr,52
2023-03-16,Lexpress.fr,123
2023-03-16,Hitek.fr,1
2023-03-16,Bfmtv.com,2324
2023-03-16,Footmercato.net,58
2023-03-16,Radiofrance.fr /franceculture,109
2023-03-16,Liberation.fr,432
2023-03-16,Notretemps.com,7
2023-03-16,Lalsace.fr,13
2023-03-16,Sciencesetavenir.fr,31
2023-03-16,Lefigaro.fr,626
2023-03-16,Tf1Info.fr,199
2023-03-16,Dna.fr,35
2023-03-16,Latribune.fr,103
2023-03-16,Geo.fr,20
2023-03-16,Numerama.com,54
2023-03-16,Corsicainfurmazione.org,1
2023-03-16,Leparisien.fr,612
2023-03-16,Francetvinfo.fr,723
2023-03-16,Lemonde.fr,878
2023-03-16,Huffingtonpost.fr,126
2023-03-16,Mediapart.fr,187
2023-03-16,Lemediaen442.fr,39
2023-03-16,Ledauphine.com,82
2023-03-16,Capital.fr,68
2023-03-16,Ouest-France.fr,441
2023-03-16,20Minutes.fr,228
2023-03-16,Publicsenat.fr,48
2023-03-16,Epochtimes.fr,15
2023-03-16,Humanite.fr,35
2023-03-16,Lepoint.fr,119
2023-03-16,Lanouvellerepublique.fr,45
2023-03-16,Nicematin.com,86
2023-03-16,Infoequitable.org,1
2023-03-16,Theconversation.com,44
2023-03-16,Valeursactuelles.com,51
2023-03-16,Latribunedelart.com,2
2023-03-16,Lequipe.fr,69
2023-03-16,Purepeople.com,13
2023-03-16,Lecourrier-Du-Soir.com,35
2023-03-16,Laprovence.com,93
2023-03-16,Basta.media,20
2023-03-16,Rtl.fr,26
2023-03-16,Lundi.am,2
2023-03-16,Reporterre.net,27
2023-03-16,fr.Euronews.com,8
2023-03-16,Agefi.fr,8
2023-03-16,Siecledigital.fr,21
2023-03-16,Jeuxvideo.com,5
2023-03-16,Viaatv.tv,2
2023-03-16,Centre-Presse.fr,6
2023-03-16,Blast-Info.fr,6
2023-03-16,Courrierinternational.com,71
2023-03-16,Jeanmarcmorandini.com,90
2023-03-16,Corsematin.com,19
2023-03-16,Lequotidiendupharmacien.fr,3
2023-03-16,Crashdebug.fr,5
2023-03-16,Businessbourse.com,51
2023-03-16,Franceantilles.fr,16
2023-03-16,Radiocourtoisie.fr,8
2023-03-16,Marianne.net,72
2023-03-16,Slate.fr,30
2023-03-16,Futura-Sciences.com,23
2023-03-16,Sport.fr,2
2023-03-16,Rugby-Addict.com,13
2023-03-16,Sudouest.fr,167
2023-03-16,Cnews.fr,102
2023-03-16,Ripostelaique.com,25
2023-03-16,Fdesouche.com,227
2023-03-16,Lesechos.fr,204
2023-03-16,Actu.fr,278
2023-03-16,Lelibrepenseur.org,10
2023-03-16,Planetes360.fr,44
2023-03-16,Tv5Monde.com,47
2023-03-16,Bvoltaire.fr,135
2023-03-16,Medias-Presse.info,11
2023-03-16,Lavoixdunord.fr,135
2023-03-16,Lunion.fr,20
2023-03-16,France24.com,23
2023-03-16,Qactus.fr,5
2023-03-16,Rci.fm,3
2023-03-16,Agoravox.fr,3
2023-03-16,Trustmyscience.com,5
2023-03-16,Lindependant.fr,56
2023-03-16,Transitionsenergies.com,10
2023-03-16,Touteleurope.eu,4
2023-03-16,Egaliteetreconciliation.fr,25
2023-03-16,Jhm.fr,12
2023-03-16,Parismatch.com,26
2023-03-16,Actu-Environnement.com,18
2023-03-16,Lequotidien.re,1
2023-03-16,Turbo.fr,3
2023-03-16,Ladepeche.fr,135
2023-03-16,Francesoir.fr,40
2023-03-16,Zinfos974.com,15
2023-03-16,Gala.fr,11
2023-03-16,Midilibre.fr,103
2023-03-16,Limportante.fr,32
2023-03-16,Lequotidiendumedecin.fr,9
2023-03-16,Frustrationmagazine.fr,5
2023-03-16,motorsport.Nextgen-Auto.com /fr,1
2023-03-16,Tntv.pf,2
2023-03-16,Imazpress.com,6
2023-03-16,Lemondeinformatique.fr,4
2023-03-16,Melty.fr,3
2023-03-16,Lecourrierdelatlas.com,4
2023-03-16,Francebleu.fr,277
2023-03-16,Challenges.fr,41
2023-03-16,Mariefrance.fr,31
2023-03-16,Sudradio.fr,10
2023-03-16,Reseauinternational.net,63
2023-03-16,Lopinion.fr,89
2023-03-16,Projetarcadie.com,6
2023-03-16,Closermag.fr,6
2023-03-16,Ndf.fr,3
2023-03-16,Cerveauetpsycho.fr,4
2023-03-16,Citoyens-Et-Francais.fr,4
2023-03-16,Causeur.fr,44
2023-03-16,Trashtalk.co,22
2023-03-16,Linfo.re,1
2023-03-16,Reussir.fr,4
2023-03-16,Estrepublicain.fr,58
2023-03-16,Politis.fr,31
2023-03-16,K-Gen.fr,13
2023-03-16,Lardennais.fr,10
2023-03-16,Themedialeader.fr,7
2023-03-16,Republicain-Lorrain.fr,22
2023-03-16,Leblogalupus.com,2
2023-03-16,Sports.fr,2
2023-03-16,Bienpublic.com,27
2023-03-16,Revue-Ballast.fr,9
2023-03-16,Policeetrealites.com,23
2023-03-16,Lamarseillaise.fr,18
2023-03-16,Afp.com,12
2023-03-16,Compta-Online.com,7
2023-03-16,Lechorepublicain.fr,18
2023-03-16,Vitisphere.com,6
2023-03-16,Arabnews.fr,4
2023-03-16,Meteo-Express.com,3
2023-03-16,Rue89Strasbourg.com,11
2023-03-16,Leprogres.fr,90
2023-03-16,Basketusa.com,18
2023-03-16,Meretmarine.com,7
2023-03-16,Foot-National.com,4
2023-03-16,Centrepresseaveyron.fr,9
2023-03-16,Leberry.fr,15
2023-03-16,Lejdd.fr,39
2023-03-16,Dalloz-Actualite.fr,11
2023-03-16,Lejdc.fr,13
2023-03-16,Varmatin.com,87
2023-03-16,Michelduchaine.com,3
2023-03-16,Radiofrance.fr /franceinter,83
2023-03-16,Linsoumission.fr,14
2023-03-16,La-Croix.com,67
2023-03-16,Europe1.fr,42
2023-03-16,Petitbleu.fr,12
2023-03-16,Lyonmag.com,21
2023-03-16,Regards.fr,6
2023-03-16,Lebigdata.fr,3
2023-03-16,Basketeurope.com,16
2023-03-16,Paris-Normandie.fr,44
2023-03-16,Radiofrance.fr /francemusique,25
2023-03-16,Fredzone.org,2
2023-03-16,Israel247.org,7
2023-03-16,Actualitte.com,17
2023-03-16,Philomag.com,5
2023-03-16,Carenews.com,7
2023-03-16,Presse-Citron.net,20
2023-03-16,Automobile-Propre.com,8
2023-03-16,Alternatives-Economiques.fr,15
2023-03-16,Atlantico.fr,33
